Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,52,1068.22,35.0,0.0,81.37,0.0,0.0,35.00,1103.22,3.5
Credit/debit,,163,3694.10,344.88,0.0,281.46,-174.99,0.0,344.88,3863.99,10.1
Credit/debit,AMEX,9,258.89,32.09,0.0,19.73,0.0,0.0,32.09,290.98,13.4
Credit/debit,DISCOVER,3,122.15,11.0,0.0,9.29,0.0,0.0,11.00,133.15,9.7
Credit/debit,MASTERCARD,65,1445.32,136.51,0.0,110.16,0.0,0.0,136.51,1581.83,10.2
Credit/debit,VISA,86,1867.74,165.28,0.0,142.28,-174.99,0.0,165.28,1858.03,9.5
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,4,136.36,0.0,0.0,10.4,0.0,0.0,0.00,136.36,0.0
Other,Other payment options,4,136.36,0.0,0.0,10.4,0.0,0.0,0.00,136.36,0.0
Total,,219,4898.68,379.88,0.0,373.23,-174.99,0.0,379.88,5103.57,8.4
