Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,42,687.15,11.0,0.0,52.37,0.0,0.0,11.00,698.15,1.7
Credit/debit,,193,4234.08,496.64,0.0,322.66,0.0,0.0,496.64,4730.72,12.6
Credit/debit,AMEX,6,90.19,7.09,0.0,6.88,0.0,0.0,7.09,97.28,8.5
Credit/debit,DISCOVER,3,60.3,5.56,0.0,4.59,0.0,0.0,5.56,65.86,10.0
Credit/debit,MASTERCARD,75,1580.0,185.1,0.0,120.41,0.0,0.0,185.10,1765.10,12.5
Credit/debit,VISA,109,2503.59,298.89,0.0,190.78,0.0,0.0,298.89,2802.48,12.9
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,235,4921.23,507.64,0.0,375.03,0.0,0.0,507.64,5428.87,11.1
Deposit Sales Collected,,,,,,,,,,21.62,
Total,,,,,,,,,,5450.49,
