Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,48,772.49,15.0,0.0,58.86,0,0,15.00,787.49,2.1
Credit/debit,,147,3030.22,343.29,20.80,230.90,0,0,343.29,3394.31,12.9
Credit/debit,AMEX,5,168.13,6.59,14.99,12.81,0,0,6.59,189.71,13.2
Credit/debit,DISCOVER,1,16.15,0.0,0.0,1.23,0,0,0.00,16.15,0.0
Credit/debit,MASTERCARD,52,1060.08,127.66,0.0,80.8,0,0,127.66,1187.74,13.0
Credit/debit,VISA,89,1785.86,209.04,5.81,136.06,0,0,209.04,2000.71,12.9
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,1,27.07,0.0,0.0,2.06,0,0,0.00,27.07,0.0
Other,Other payment options,1,27.07,0.0,0.0,2.06,0,0,0.00,27.07,0.0
Total,,196,3829.78,358.29,20.80,291.82,0.0,0.0,358.29,4208.87,10.7
